Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C3",CP_Radial_D13.0mm_P5.00mm,2,470uF,
"C17, C20, C22, C24",0805,4,100n,
"C18, C19, C21, C23",1210,4,10uF,
"C4, C5",CP_EIA-7343-40_Kemet-Y_HandSolder,2,100uF,
"D1, D5, D6, D7, D8",D_SMA,5,SMAJ40A,
ESP32_S1,ESP32-S3-Zero,1,~,
F1,Fuse_Littelfuse-NANO2-451_453,1,Fuse,
H1,MountingHole_2.5mm,1,MountingHole,
"H2, H3, H4",MountingHole_3mm,3,MountingHole,
J1,"PhoenixContact_MCV_1,5_5-G-3.81_1x05_P3.81mm_Vertical",1,Conn_01x05_Socket,
J2,"PhoenixContact_MSTBVA_2,5_2-G-5,08_1x02_P5.08mm_Vertical",1,Conn_01x02_Female,
"Q1, Q2, Q3, Q4",TO-252-2,4,QM6006D,
"R1, R2, R3, R4",0805,4,10R,
"U10, U11, U8, U9",SOT-23-5,4,MCP1416,
U2,SOT-223-3_TabPin2,1,AMS1117-5.0,
U3,Converter_DCDC_TRACO_TSR-1_THT,1,TSR_1-2490,
