Designator,Mid X,Mid Y,Rotation,Layer
C1,111.0118,-77.500985,270.0,top
C17,140.993,-82.8984,90.0,top
C18,137.691,-82.3904,90.0,top
C19,137.7078,-108.7754,90.0,top
C20,140.7558,-109.258,90.0,top
C21,137.6316,-99.7453,90.0,top
C22,140.9082,-91.3549,90.0,top
C23,137.6824,-90.8299,90.0,top
C24,140.8828,-100.2703,90.0,top
C3,126.076,-77.3928,270.0,top
C4,118.1512,-104.6179,90.0,top
C5,130.902,-104.5163,90.0,top
D1,118.583,-85.891,0.0,top
D5,164.0984,-82.1658,90.0,top
D6,164.0984,-90.984867,90.0,top
D7,164.0984,-99.803933,90.0,top
D8,164.0984,-108.623,90.0,top
ESP32_S1,103.1652,-102.2486,0.0,top
F1,110.6582,-89.066,0.0,top
J1,176.4696,-94.9588,90.0,top
J2,95.342,-85.51,90.0,top
Q1,154.709,-82.1364,0.0,top
Q2,154.8134,-90.9456,0.0,top
Q3,154.685,-99.6588,0.0,top
Q4,154.7018,-108.4716,0.0,top
R1,145.2864,-79.6726,180.0,top
R2,145.2864,-88.6586,180.0,top
R3,145.2864,-97.3454,180.0,top
R4,145.2864,-106.1846,180.0,top
U10,145.184,-101.2722,180.0,top
U11,145.184,-110.3146,180.0,top
U2,124.5774,-104.4842,270.0,top
U3,125.3648,-94.1206,0.0,top
U8,145.184,-83.9144,180.0,top
U9,145.184,-92.3822,180.0,top
